"longitude" "latitude" "obs" "CMAQ"
-77.05917 38.8575 70.625 81.3597
-77.37722 38.20306 62.571 60.1107
-77.26003 37.34329 56.375 65.0932
-77.59361 37.35889 60.875 73.7335
-77.46528 38.89389 83.125 79.5363
-77.0775 38.7425 69.5 76.5483
-77.10555 38.77278 71.125 78.5061
-77.19889 38.93195 69.125 85.8105
-77.76778 38.475 67.625 66.3977
-78.08139 39.28278 62.625 55.9688
-77.21877 37.60606 51.875 62.1225
-77.40028 37.55833 65.5 65.9699
-77.49 39.02444 79.375 77.5237
-78.43611 38.52194 67.286 52.1053
-78.50472 38.66333 55.375 50.9282
-77.63556 38.85528 76.25 66.1395
-79.88417 37.28556 51.25 52.0398
-79.51305 37.62611 45.5 55.8209
-77.37028 38.48306 74.625 72.7202
-81.255 36.89305 48.25 55.6775
-77.04472 38.81083 63.857 76.5483
-76.39917 37.00333 32.125 58.5145
-76.43861 36.90333 30.429 42.3749
-76.73139 36.6675 46.714 54.6494
-77.96413 39.44801 67 56.5061
-82.42532 38.42451 86.875 73.3638
-80.63281 37.90844 54 54.8977
-80.58089 40.42154 83 70.7581
-81.62843 38.34562 74 67.332
-79.92111 39.64944 67.25 63.9243
-80.69926 40.12043 87.875 68.3832
-81.55219 39.32366 70 88.299
-87.90889 44.53 52.75 57.3902
-89.10889 43.31445 49.125 55.5487
-89.35722 43.10083 51.375 51.9553
-88.52778 43.435 54.125 56.8016
-86.99361 45.23778 74.25 90.0227
-88.40056 45.79556 45.429 47.1102
-88.42194 43.68778 55.286 56.922
-89.65945 42.53389 53.75 52.4074
-88.81223 43.00139 60.75 59.6723
-87.82611 42.55917 71.625 83.5198
-87.81111 42.50472 82 83.5198
-87.84944 42.65278 70.125 84.7852
-87.50611 44.44278 66.25 87.0963
-87.96861 44.0825 50.875 57.3921
-87.61611 44.13861 77.875 106.306
-89.76972 44.70722 50.571 47.0647
-87.9125 43.06111 46.375 43.0992
-87.88445 43.07528 54.125 43.0992
-88.00555 43.09278 51.5 66.9166
-87.90056 43.18111 56 47.4524
-87.87806 42.89639 60.125 75.5001
-89.63223 45.67805 49.286 52.7211
-88.39555 44.30695 44.5 56.5438
-87.92083 43.34306 62 67.9792
-87.81 43.49805 82.125 78.0002
-87.79861 42.71389 71.125 85.6325
-89.015 42.52917 61 65.0953
-89.68027 43.43555 51.75 52.1207
-87.71639 43.66694 92.75 72.2896
-87.81306 43.71833 59.25 72.2896
-90.56834 43.70222 52.625 51.7405
-89.65361 46.04806 44.5 50.9942
-88.49917 42.58 59.625 65.2775
-88.22028 43.32722 59.5 62.814
-88.23194 43.00389 59.5 66.0107
-88.52972 44.07528 54.125 57.5629
