"longitude" "latitude" "obs" "CMAQ"
-85.38 40.96056 67.714 67.819
-86.08052 38.9208 73.5 79.1375
-86.1524 39.4172 72.125 70.8595
-87.30473 41.60667 67.75 43.6468
-87.4175 41.26389 61.714 66.149
-87.49361 41.63944 80.875 63.54
-86.9075 41.71695 66.75 80.859
-86.68472 41.62917 64.625 79.9001
-85.65694 40.0025 81.75 68.5464
-86.24879 39.64626 69.625 73.1924
-86.02134 39.85896 87.125 77.6438
-86.18624 39.74889 67.375 69.0737
-86.06084 39.78917 7.8571 70.8263
-86.47791 39.5756 65.875 71.7538
-86.575 38.20694 86.75 59.2403
-87.08694 41.63139 66.125 69.2067
-87.19917 41.6175 65.5 61.896
-87.71833 38.00528 62.375 69.3921
-86.37056 41.55167 62.25 69.6405
-86.11056 41.74258 77.714 72.3179
-86.23666 41.69361 77.625 71.2455
-85.87358 39.61129 76.25 68.8298
-87.56944 38.02167 66.625 69.771
-87.53694 38.11389 66.25 74.1747
-87.40139 39.48611 80.875 78.2322
-87.31306 39.56055 68.875 80.727
-87.31416 37.9375 64.75 67.4558
-87.27834 38.05194 73.125 76.1442
-87.34139 38.19444 72.875 83.4311
-92.51305 42.74306 41.75 42.1651
-90.17744 41.87497 57.125 55.0696
-95.94597 41.78205 64.75 41.7596
-91.65195 41.91056 39.5 49.0012
-91.52695 42.28056 50 56.1408
-94.69334 43.12333 33.714 44.8484
-90.52194 41.69917 53.75 54.7284
-90.43083 41.6475 47.875 55.1488
-93.69611 41.88083 40.375 45.5749
-91.99445 40.68917 57 48.7499
-93.56667 41.25195 46.75 47.4102
-94.73194 38.13583 57.75 48.8317
-97.33722 37.78139 56.125 48.4646
-97.31389 37.70111 65.25 48.3963
-99.76361 38.77028 54.875 46.2439
-94.63556 39.1175 49.875 52.8137
-83.73695 36.60806 52 59.7211
-84.85278 38.91806 82.25 88.5555
-82.62111 38.46583 80.5 75.7442
-85.71306 37.98556 72.5 62.3259
-84.45194 39.06556 100.38 74.6731
-82.98833 38.23833 75.75 78.5666
-87.32361 36.91167 70.75 65.9684
-87.07555 37.78083 68.625 80.3524
-86.14806 37.13139 73.5 62.7319
-84.46833 38.12583 63.875 73.2911
-84.5 38.065 59.875 73.2911
-88.49361 36.89917 25.75 59.2255
-82.73167 38.54833 92.25 78.6077
